Name                                                                        Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------
.venv/lib/python3.8/site-packages/_pytest/__init__.py                           5      2    60%
.venv/lib/python3.8/site-packages/_pytest/_argcomplete.py                      37     23    38%
.venv/lib/python3.8/site-packages/_pytest/_code/__init__.py                     9      0   100%
.venv/lib/python3.8/site-packages/_pytest/_code/code.py                       657    367    44%
.venv/lib/python3.8/site-packages/_pytest/_code/source.py                     244    163    33%
.venv/lib/python3.8/site-packages/_pytest/_io/__init__.py                      23     17    26%
.venv/lib/python3.8/site-packages/_pytest/_io/saferepr.py                      63     48    24%
.venv/lib/python3.8/site-packages/_pytest/_version.py                           1      0   100%
.venv/lib/python3.8/site-packages/_pytest/assertion/__init__.py                80     25    69%
.venv/lib/python3.8/site-packages/_pytest/assertion/rewrite.py                597    410    31%
.venv/lib/python3.8/site-packages/_pytest/assertion/truncate.py                49     40    18%
.venv/lib/python3.8/site-packages/_pytest/assertion/util.py                   284    245    14%
.venv/lib/python3.8/site-packages/_pytest/cacheprovider.py                    282    141    50%
.venv/lib/python3.8/site-packages/_pytest/capture.py                          493    165    67%
.venv/lib/python3.8/site-packages/_pytest/compat.py                           180     63    65%
.venv/lib/python3.8/site-packages/_pytest/config/__init__.py                  659    249    62%
.venv/lib/python3.8/site-packages/_pytest/config/argparsing.py                244     76    69%
.venv/lib/python3.8/site-packages/_pytest/config/exceptions.py                  3      0   100%
.venv/lib/python3.8/site-packages/_pytest/config/findpaths.py                 110     47    57%
.venv/lib/python3.8/site-packages/_pytest/debugging.py                        198    149    25%
.venv/lib/python3.8/site-packages/_pytest/deprecated.py                        10      0   100%
.venv/lib/python3.8/site-packages/_pytest/doctest.py                          334    239    28%
.venv/lib/python3.8/site-packages/_pytest/faulthandler.py                      58     15    74%
.venv/lib/python3.8/site-packages/_pytest/fixtures.py                         789    257    67%
.venv/lib/python3.8/site-packages/_pytest/freeze_support.py                    17     15    12%
.venv/lib/python3.8/site-packages/_pytest/helpconfig.py                       121     86    29%
